Название,Автор,Цена,Описание,Издательство,Год издания,Штрих-код,Количество страниц,Переплет,Размер,Толщина,Вес,Картина
Легкий способ бросить курить в кратком изложении,Карр А.,"В 1983 году Аллен Карр разработал методику, которая позволила миллионам курильщиков навсегда избавиться от курения и сегодня известна как ""Легкий способ бросить курить"". В книге развенчиваются мифы, связанные с курением, и предлагаются эффективные приемы для преодоления никотиновой зависимости.",1 800 тг,5,Добрая книга,2019 г.,9785981243325,144,Мягкий,200 мм x 130 мм,300 г.,http://www.bookcity.kz/content/images/thumbs/5020546_1342207.jpeg
Легкий способ бросить курить для женщин в картинках,Карр А.,"Эффективность: методика Аллена Карра используется в десятках клиник по всему миру она получила высокие отзывы врачей и специалистов. Удобство: отказ от курения не сопровождается дискомфортом, страданиями и не приводит к набору лишнего веса. Простота не требуются заменители никотина потребность курить исчезает без какого-либо замещения. Универсальность: метод Аллена Карра поможет каждому справиться с тревогами и страхами, которые мешают нам жить полноценной жизнью и наслаждаться ею.",3 000 тг,0,Добрая книга,2009 г.,9785981244025,160,Мягкий,200 мм x 130 мм,132 г.,http://www.bookcity.kz/content/images/thumbs/5033134_1389703.jpeg
Легкий способ бросить курить специально для женщин,Карр А.,"""Легкий способ бросить курить"" одинаково эффективен как для женщин, так и для мужчин. Однако, как показал опыт терапевтов, работающих в клиниках по методу Аллена Карра, женщины, стремящиеся бросить курить, сталкиваются с особыми трудностями. Для курящей женщины сигарета - важный элемент системы поддержки, неотъемлемая часть жизни, неразрывно связанная с ее представлениями о самой себе. Бросая курить, женщины озабочены тем, как это повлияет на их вес и фигуру.",2 900 тг,5,Добрая книга,2019 г.,9785981242281,256,Мягкий,200 мм x 130 мм,214 г.,http://www.bookcity.kz/content/images/thumbs/5009814_1331375.jpeg
Легкий способ бросить курить специально для женщин. Аудиокнига 8 СD,Карр А.,"Эффективность : методика Аллена Карра используется в десятках клиник по всему миру и получила высокие отзывы врачей и специалистов. Удобство : отказ от курения не сопровождается дискомфортом, страданиями и не приводит к набору лишнего веса. Практичность : никакого запугивания, никаких нотаций, никаких банальных проповедей о вреде курения. Простота : не требуются заменители никотина потребность курить исчезает без какого-либо замещения. Универсальность: метод Аллена Карра поможет каждому справиться с тревогами и страхами, которые мешают нам жить полноценной жизнью и наслаждаться ею. Результат: новое, ни с чем не сравнимое ощущение свободы. Гарантии успеха: с помощью этого метода более 95% курящих бросают курить навсегда.",5 100 тг,0,Добрая книга,2007 г.,9785981243431,30 мм,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5020545_1341440.jpeg
Легкий способ бросить пить,Карр А.,"Аллен Карр, разработавший собственный способ избавления от никотиновой зависимости, ныне известный всему миру как «Легкий способ бросить курить», применил свой новаторский метод и к проблеме алкоголизма. В книге «Легкий способ бросить пить» он развенчивает иллюзии, которые окружают проблему алкоголизма и изображают жизнь без алкоголя невозможной. Он предлагает помощь всем, кто искренне хотел бы избавиться от недуга, который разбивает семьи и разрушает жизни. Метод Аллена Карра, демонстрируя феноменальную эффективность, получил признание среди специалистов, приобрел широкую популярность и пользуется огромным успехом во многих странах мира. Аллен Карр создал всемирную сеть клиник, где специалисты помогают курильщикам бросить курить, а людям, страдающим алкоголизмом, преодолеть зависимость от алкоголя. Книги Аллена Карра изданы на двадцати языках и стали бестселлерами.",3 300 тг,5,Добрая книга,2018 г.,9785981241918,272,Мягкий,200 мм x 130 мм,256 г.,http://www.bookcity.kz/content/images/thumbs/4484168_1389188.jpeg
Лечебная сила магнита. Секреты индийских мудрецов Секреты индийских мудрецов,Моханти Р.,"Подлинная мудрость индийских гуру - в каждом слове врача и Учителя Ранжита Мохаити. В книге он рассказывает о древнем уникальном способе лечения магнитом. Современная индийская медицина широко применяет магнит в лечебных целях и владеет методиками, проверенными веками. Обращаясь к магнитной терапии, человек может восстановить иммунитет и справиться с такими болезнями, как астма, остеохондроз, ревматизм, диабет, язва желудка и двенадцатиперстной кишки, заболеваниями сердечно­сосудистой, нервной системы и опорно-двигательного аппарата. А данная книга научит вас пользоваться магнитом в лечебных целях.",700 тг,0,Питер,2016 г.,9785496016872,128,Мягкий,200 мм x 130 мм,230 г.,http://www.bookcity.kz/content/images/thumbs/5104713_1441132.jpeg
"Лечебная физическая культура и массаж. 2-е изд., перераб. и доп. (для СПО)",Епифанов В.А.,Лечебная физическая культура и массаж. Учебник,10 000 тг,2,ГЭОТАР-Медиа,2016 г.,9785970437575,528,Твердый,215 мм x 145 мм,635 г.,http://www.bookcity.kz/content/images/thumbs/5109438_1424445.jpeg
Лечебная физическая культура и массаж. Учебник. 2-е изд. доп.,"Качанов Л.Н., Шапекова Н., Марчибаев У., Сидорова ",Неизвестно,4 600 тг,0,Фолиант баспасы,2018 г.,9786013029603,Твердый,17 мм,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5126216_1458733.jpeg
Лечебник потомственного деревенского знахаря. Исцеление народными методами любых хворей,Неизвестно,"В этой книге собраны самые действенные и эффективные рецепты народной медицины, рекомендации по лечению разных заболеваний и множество других полезных советов. Настои, отвары, мази, примочки, растирки, травяные сборы, вытяжки и прочие лекарственные средства, приготовленные на основе растительных ингредиентов, помогут справиться с любой болезнью. Все средства, описанные в издании, можно приготовить и использовать дома.",1 900 тг,3,Книжный Клуб «Клуб Семейного Досуга»,2016 г.,9789661456593,480,Твердый,200 мм x 130 мм,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5092905_1430810.jpeg
Лечебное очищение по Болотову,Болотов Б.В.,"Первая часть книги, написанная академиком Болотовым, посвящена очистительным процедурам, проводить которые автор рекомендует при различных заболеваниях. Он предлагает применять специально разработанные им средства очистительного комплекса — ферменты, уксусы, квасы, шарики (жмыхи).
Во второй части книги, написанной его учеником, ученым и практиком Глебом Погожевым, рассматриваются очистительные процедуры для профилактики различных заболеваний. Автор подробно останавливается на вопросе необходимости проведения ударных чисток организма, приводит методику такого очищения, рассматривает разные варианты мягких чисток. 
Каждая глава этой книги — открытие, в каждой страничке — надежда, в каждом слове — польза.",1 100 тг,0,Питер,2019 г.,9785001163268,Мягкий,2 мм,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5132323_1464670.jpeg
Лечение более чем 100 болезней методами восточной медицины,Кашницкий С.Е.,"В ваших руках - необычное издание. Его трудно назвать ""книжным"" в буквальном смысле слова. Ведь написана эта книга была не в пыльном кабинете. Ее автор прошагал пешком не одну сотню километров для того, чтобы читатель мог познакомиться с уникальным прикладным наследием восточных медицинских практик. Все опубликованные в книге рецепты собраны Савелием Кашницким во время поисковых экспедиций по странам Востока. Со слов целителей автору удалось записать оригинальные рецепты, которые испокон веков передавались от учителя к ученику. Возраст многих включенных в книгу прописей исчисляется тысячелетиями, но с их помощью успешно исцеляют и по сей день. Рецепты из разных восточных регионов подобраны в книге по названиям болезней.",2 500 тг,2,АСТ,2012 г.,9785271425530,480,Твердый,200 мм x 130 мм,325 г.,http://www.bookcity.kz/content/images/thumbs/5047473_1369537.jpeg
Лечение болезней методами чжэньцзю-терапии,Белоусов П.В.,"Данное издание является четвертой книгой серии «Китайская чжэньцзю-терапия». Книга составлена путем перевода с китайского официальных учебных материалов институтов китайской медицины системы высшего образования КНР, в первую очередь серии печатных изданий Института китайской медицины г. Тяньцзин, материалов Интернет-сайта Института китайской медицины г. Наньцзин. В ходе работы использовались справочные издания на китайском языке, в частности, «Чжэнь цзю да цы дянь» (Большой словарь иглоукалывания и прижигания, 1987 г.), «Чжун и да цы дянь» (Большой словарь китайской медицины, 1995 г.), а также многочисленные комментарии и толкования понятий китайской медицины из различных источников.В книге содержится описание этиологии, патогенеза, основных симптомов болезней китайской и западной медицины, приводятся варианты лечения из современных и древних письменных источников.",3 200 тг,5,Алматы,2010 г.,9789965763304,Мягкий,16 мм,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5067951_1407713.jpeg
Лечение пиявками: теория и практика гирудотерапии. Руководство для врачей,Каменев О.,"В настоящем издании вы найдете наиболее полную информацию по трудотерапии - одному из самых древних и высокоэффективных методов натуротерапии. Здесь собраны сведения об анатомии и механизмах лечебного действия пиявки описаны методики приставок пиявок в практической медицине, сформулированы показания и противопоказания к трудотерапии. Пособие хорошо иллюстрировано, содержит список литературы, рекомендуемой врачам для самостоятельной работы, и раздел самоконтроля, включающий большое число тестовых вопросов. Издание рассчитано на врачей различных специальностей, интересующихся вопросами гирудотерапии, осваивающих гирудотерапию и занимающихся лечебным применением пиявок. Предназначено в качестве учебного пособия в системе послевузовского образования, студентам старших курсов медицинских вузов, а также читателям специальной литературы оздоровительного направления.",5 300 тг,1,Весь,2018 г.,9785957307907,304,Твердый,215 мм x 145 мм,406 г.,http://www.bookcity.kz/content/images/thumbs/5091919_1429858.jpeg
Лечение солнечным светом,Мориц А.,Дана полная и чрезвычайно полезная информация об исцеляющем воздействии солнечного света на организм человека и его роли в предотвращении многих заболеваний. Для широкого круга читателей.,900 тг,3,Попурри,2011 г.,9789851511859,256,Мягкий,200 мм x 130 мм,165 г.,http://www.bookcity.kz/content/images/thumbs/4649007_1349362.jpeg
"Малахов + ""Моя любимая фигура"". Выпуск 16",Неизвестно,"В брошюре опубликованы советы гостей, зрителей и ведущих программы ""Первого канала"" ""Малахов+"". Секреты женского здоровья, правила похудения и многое другое.",300 тг,0,Захаров,2008 г.,9785815907874,Мягкий,5 мм,28 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5036335_1358794.jpeg
"Малахов + ""Овощная терапия"". Выпуск 36",Неизвестно,"В брошюре опубликованы советы гостей, зрителей и ведущих программы ""Первого канала"" ""Малахов+"".",300 тг,0,Захаров,2008 г.,9785815908505,32,165 мм x 120 мм,5 мм,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5036745_1356824.jpeg
Медицина Болотова,Болотов Б.В.,"Основные принципы лечения по Болотову и универсальный справочник лекарственных препаратов, разработанных академиком, — под одной обложкой! Большинство лекарств, созданных академиком Болотовым, основаны на использовании ферментов молочно-кислого брожения лекарственных растений. Их приготовление и применение отличается простотой и доступно каждому. Краеугольным камнем аптеки Болотова также является царская водка, благодаря которой можно замедлить старение и предупредить множество болезней за счет закисления организма.",1 500 тг,0,Питер,2019 г.,9785001163237,Мягкий,10 мм,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5132391_1464738.jpeg
Методы и техники чжэньцзю-терапии,Белоусов П.В.,"В книге описаны различные методы и техники иглоукалывания, прижигания и постановки банок, приемы укалывания знаменитых врачей древности, приводятся методы расчета «открытых» точек по традиционному китайскому календарю. В приложении содержится перевод с китайского нескольких стихотворных произведений из классических книг по чжэньцзю-терапии.Данное издание является пятой книгой серии «Китайская чжэньцзю-терапия».",2 700 тг,5,Алматы,2010 г.,9789965763878,Мягкий,14 мм,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5068152_1407715.jpeg
Мир ароматов и благовоний,Сахаров Б.М.,"Применение благовоний в религиозных и целебных целях является очень древней традицией большинства народов мира. Невозможно представить православное, католическое, индуистское или буддийское богослужение без воскурения ладана или других благовоний.",1 400 тг,0,Профит Стайл,2018 г.,9785988574231,128,Мягкий,200 мм x 130 мм,80 г.,http://www.bookcity.kz/content/images/thumbs/5123997_1456676.jpeg
"Мир и Человек в физике, эзотерике и Многомерной медицине",Неизвестно,"Книга ""Мир и Человек в физике, эзотерике и Многомерной медицине"" - пример творческого развития мировоззренческих основ, заложенных в уникальной системе самопознания, самодиагностики и самоисцеления человека - ""Многомерной медицине"", созданной академиком Российской и Международной инженерных академий Л.Г.Пучко.",6 700 тг,1,АСТ,2017 г.,9785170989218,480,Твердый,290 мм x 205 мм,825 г.,http://www.bookcity.kz/content/images/thumbs/5102820_1439340.jpeg
Многомерная медицина. Новые диаграммы и символы. Полный атлас,Пучко Л.Г.,"Кандидат технических наук, академик Российской и Международной инженерных академий Л.Г.Пучко хорошо знакома читателям по четырем предыдущим монографиям, вышедшим в Издательстве АНС под рубрикой ""Открытия будущего"". Это книги ""Биолокация для всех"", ""Многомерная медицина"", ""Радиэстезическое познание человека"", ""Многомерный человек"". Данная книга Л.Г.Пучко ""Многомерная медицина. Новые диаграммы и символы. Полный атлас"" открывает новые возможности для тех, кто использует методику Многомерной медицины в своей жизни. В издании автор собрала, систематизировала и откорректировала всю необходимую для полноценной и эффективной работы информацию: понятийный аппарат Многомерной медицины, примеры принципиальных установок, алгоритм построения вибрационных рядов, полный комплект диаграмм Многомерной медицины и др. В книге впервые представлены новые символы (символы праалфавита и символы-кристаллы), применение которых поможет достичь устранения различных проблем, таких как сложности...",6 600 тг,5,АСТ,2019 г.,9785170665112,368,Мягкий,290 мм x 205 мм,573 г.,http://www.bookcity.kz/content/images/thumbs/5035968_1360825.jpeg
Многомерная модель человека. Обновленное и дополненное издание,Пейчев Н.В.,"Автор книги известный психолог, специалист в области энергоинформационных наук, участник ряда Международных Конгрессов по целительству. В книге полезные авторские трактовки проблем с чакрами и что надо делать при их слабом функционировании! Очень простое и ясное изложение достаточно сложных вещей! Это книга лечит. Усиливает энергию и улучшает настроение! Обновленное и дополненное издание!",3 400 тг,0,АСТ,2019 г.,9785171109172,Твердый,19 мм,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5129734_1462171.jpeg
Многомерная модель человека. Полная система восстановления здоровья. Быстрое исцеление тела,Пейчев Н.В.,"Эта книга рассказывает о причинах различных заболеваний человека с точки зрения его жизненных установок, модели поведения и образа жизни. Николай Пейчев за многие годы практической диагностики заболеваний выработал свою систему корректировки поведения и мышления пациента, которая позволяет ему не просто излечиться, но усвоить урок, который несёт в себе любая болезнь.",4 900 тг,5,Амрита-Русь,2017 г.,9785000536858,448,Твердый,200 мм x 145 мм,128 г.,http://www.bookcity.kz/content/images/thumbs/5092063_1430000.jpeg
Многомерный человек. Новый высокоэффективный алгоритм самоисцеления человека и лечения животных,Пучко Л.Г.,"Предлагаемая читателю книга академика Российской и Международной инженерных академий Л.Г.Пучко ""Многомерный человек. Новый высокоэффективный алгоритм самоисцеления человека и лечения животных"" посвящена принципиально новым методам исцеления от так называемых неизлечимых и трудноизлечимых, хронических заболеваний, которые могут преследовать человека практически всю жизнь. Л.Г.Пучко хорошо знакома читателям по трем предыдущим монографиям, вышедшим в Издательстве АНС под рубрикой ""Открытия будущего"". В 2006 году за разработку новых подходов к (само)диагностике и (само)исцелению человека, основы которых изложены в книгах ""Биолокация для всех"", ""Многомерная медицина"" и ""Радиэстезическое познание человека"", автор была награждена Международной премией с вручением диплома ""Лидер экономического развития России"". Высокоэффективные алгоритмы (само)диагностики и (само)исцеления человека базируются на существующей с древних времен гипотезе о том, что, наряду с физическим телом, все...",7 400 тг,5,АСТ,2018 г.,9785170497409,480,Твердый,240 мм x 170 мм,690 г.,http://www.bookcity.kz/content/images/thumbs/5002768_1324508.jpeg
Мое водолечение,Кнейпп С.,"""Мое водолечение"" - знаменитая книга С.Кнейппа, немецкого священника и врача-натуропата. Эта классическая работа по натуропатии выдержала более сотни изданий на языке оригинала и бесчисленные переиздания на основных культурных языках мира, включая русский. В книге представлен своеобразный взгляд на сущность болезней и содержатся ценнейшие сведения о методах их излечения, основанные на сорокалетней успешной практике самого автора. При помощи различных водных процедур - закаливания, обертываний, обтираний, компрессов, ванн и полуванн он излечивал людей от, казалось бы, неизлечимых болезней. Все, кому нужно поправить свое здоровье, найдут здесь нужные сведения, добрый совет и помощь. Книга предназначена для широкого круга читателей.",5 000 тг,2,Старклайт,2012 г.,9785963300688,324,Твердый,200 мм x 145 мм,370 г.,http://www.bookcity.kz/content/images/thumbs/5126556_1459076.jpeg
"Может, уже хватит болеть, или откровения упрямого оптимиста. Словцов С.",Словцов,"Эту книгу написали брат и сестра, Сергей и Ирина Cловцовы. Сергей — ученый, кандидат технических наук, лауреат Премии Правительства России в области атомной энергетики, лауреат Премии Санкт-Петербургского союза журналистов и Ленинградской атомной станции. Ирина — профессиональный журналист, лауреат премии Ленинградского союза журналистов.",600 тг,0,Вектор,2006 г.,9795968402614,10 мм,Неизвестно,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5033486_1355299.jpeg
Народный лечебник Болотова,Болотов Б.В.,"«Народный лечебник Болотова» — книга, которая открывает уникальную серию «Жизнь по Болотову». Медицина будущего станет во многом основываться на дерзких теориях клеточного омоложения организма и лечения сдвиговых нарушений, разработанных знаменитым украинским волшебником.
Значительное внимание в этой книге уделяется «бичу XXI века» — онкологическим заболеваниям. Созданная ученым теория возникновения рака позволила ему создать практическую методику лечения этого и многих других недугов. Новейшие открытия академика, проверенные на практике его учеником, ученым и практиком Глебом Погожевым, сделали этот лечебник поистине народным. «Народный лечебник» — это ваше долголетие без болезней и врачей.
Благодаря этой книге любой может приобщиться к великой медицине и захочет жить по Болотову!",1 500 тг,0,Питер,2019 г.,9785001163220,Мягкий,10 мм,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5132322_1464669.jpeg
Настоящий таиландский лечебный массаж,Корси Э.,"Энрико Корси - руководитель Европейской Академии тайского массажа, изучает и преподает тайский массаж, является инструктором хатха-йоги и таиландской йоги. Книга содержит мануальные приемы и упражнения для тела. Эти средства - результат внимательного и целенаправленного отбора наиболее эффективных и легких в использовании приемов таиландского массажа.",7 100 тг,1,Диля,2016 г.,9785885032551,160,Мягкий,240 мм x 170 мм,455 г.,http://www.bookcity.kz/content/images/thumbs/5009799_1330820.jpeg
Наука гомеопатии,Кришнамачарья Э.,"Книга составлена по материалам лекций, прочитанных К.Э.Кришнамачарья в Европе в период с 1975 по 1981 год. Учитель конкретен в определении тем: гомеопатия и спиритуализм здоровье, надежда и позитивное мышление целительство и аюрведа. Лекции настолько информативны, что вполне могут стать настольной книгой для тех, кто выбрал путь познания себя и мира, а также хочет исцелить себя, изменить свою жизнь, вернуться к истокам Любви и Мудрости. Данная книга не является справочником по медицине, описанная клиническая картина может не соответствовать общепринятой практике. Все рекомендации, приведенные в книге, следует использовать только после согласования с лечащим врачом. Редакция не несет ответственности за результат использования приведенных в книге способов лечения.",1 200 тг,2,Амрита-Русь,2017 г.,9785413014417,160,Мягкий,140 мм x 107 мм,70 г.,http://www.bookcity.kz/content/images/thumbs/5092490_1430410.jpeg
Обезболивание акупунктурой и акупрессурой. Руководство по самолечению,Герман Г.В.,"Из этой книги вы узнаете об акупунктуре - абсолютно безопасной форме лечения, а также о методе акупрессуры, продолжения акупунктуры, при котором на точки терапевтически воздействуют не с помощью игл, а путем надавливания пальцем. Тех­нику акупрессуры можно освоить в течение нескольких минут и затем успешно применять: она улучшает состояние при многочисленных расстройствах и надежно устраняет боль. Более чем 100 болезненных состояний могут быть купированы путем акупрессуры.",1 600 тг,4,Профит Стайл,2016 г.,9785988573487,192,Мягкий,165 мм x 120 мм,75 г.,http://www.bookcity.kz/content/images/thumbs/5087808_1426357.jpeg
Основы Аюрведы,Агниваса А.,"Если вы уже слышали, что существует какая-то эффективная медицинская система, называемая Аюрведой, но еще не знаете, что это такое или же вы уже пытались в ней разобраться, но не смогли осилить других книг на эту тему из-за непривычной терминологии или же, если вы пытались следовать советам других оздоровительных методик, но вам никак не удалось приспособиться к их строгим правилам питания, упражнений и постов, тогда вам самое время прочесть эту книгу.",1 900 тг,3,Профит Стайл,2018 г.,9785988573067,192,Мягкий,200 мм x 130 мм,125 г.,http://www.bookcity.kz/content/images/thumbs/5074639_1413899.jpeg
Основы китайской фитотерапии,Белоусов П.В.,"В книге изложена история возникновения, основные принципы сбора, обработки, классификации лекарственных средств китайской медицины, кратко описаны свойства 272 наиболее распространенных лекарств с позиций традиционной китайской медицины.",2 800 тг,5,Алматы,2010 г.,9789965550027,Мягкий,15 мм,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5067952_1407714.jpeg
"Пиявка и пчела лечат суставы. Метод лечения, который действительно помогает. Советы практикующего врача","Власова И,","В своей книге автор, кандидат медицинских наук, расска­зывает о лечении некоторых заболеваний опорно-двигатель­ного аппарата. Особое место уделено такому заболеванию, как ревматоидный артрит. Ревматоидный артрит трудно поддает­ся лечению медикаментозными препаратами, поэтому автор освещает общепринятые методы лечения, а также проблемы, связанные с необходимостью длительного лечения.  Вашему вниманию представлены альтернативные методы лечения: трудотерапия, гомеопатия. Особое место уделено ле­чению методом пчелоужаления и продуктами пчеловодства, что позволяет уменьшить дозу лекарственных препаратов, предот­вратить осложнения от их приема, а в ряде случаев и полностью отказаться от приема лекарств.  Настоящее издание не является учебником по медицине. Все рекомендации должны быть согласованы с лечащим врачом.",1 400 тг,4,АСТ,2014 г.,9785170847105,192,Твердый,200 мм x 130 мм,195 г.,http://www.bookcity.kz/content/images/thumbs/5122520_1455260.jpeg
Полная система восстановления здоровья. Причины заболеваний и пути их устранения,Пейчев Н.В.,"Из этой книги вы узнаете о причинах множества заболеваний и о том, что в их основе лежит закисление организма (смещение уровня pH). Об этом сейчас говорят ведущие ученые-физиологи. Один из них - Отто Варбург - получил Нобелевскую премию по физиологии и медицине, доказав, что рак развивается только в кислой среде. Те люди, от которых отказалась современная медицина, сейчас абсолютно здоровы, ведь они воспользовались системой, исцелив души от боли, разум от негативных программ и тело от кислот, паразитарной инфекции, ядов, шлаков и токсинов. И вот первый вопрос, который должен задать себе каждый перед прочтением этой книги: если ваше тело абсолютно чисто изнутри, вы будете болеть? Автор дает алгоритм и рекомендации для нормализации уровня pH и восстановления организма.",1 700 тг,5,Амрита-Русь,2017 г.,9785000534663,240,Мягкий,200 мм x 130 мм,195 г.,http://www.bookcity.kz/content/images/thumbs/5080803_1419730.jpeg
Полярная терапия: Основы крепкого здоровья,Стоун Р.,"Крепкое здоровье - это основа яркой и продуктивной жизни, и все мы стремимся к тому, чтобы пребывать в этом состоянии. Болезни и недуги - наши враги, с которыми нужно бороться, но их можно избежать, если правильно относиться к телу - ""храму"" души. Доктор Р.Стоун делится с нами простыми истинами, которые он открыл, более 50 лет занимаясь лечебной практикой в своей клинике в Индии. Тысячи безнадежно больных людей получили от него бесплатную помощь и сумели выздороветь. Свою систему он назвал ПОЛЯРНАЯ ТЕРАПИЯ - и это целая философия здорового образа жизни, достижения внутренней гармонии, поддержания тела в хорошей физической форме. Все его рекомендации - практичны и эффективны, будь то питание, разминочные позы или чистота помыслов. Он учит нас целостному подходу к здоровью, учит искать причины болезней внутри себя, а не бороться со следствиями. Можно по-разному относиться к его системе, но лучшим доказательством того, что Полярная Терапия работает, может служить долгая и здоровая жизнь...",1 600 тг,1,София,2015 г.,9785906749574,224,Мягкий,200 мм x 130 мм,130 г.,http://www.bookcity.kz/content/images/thumbs/5064821_1405054.jpeg
